split,task_type,labels,sampling,stem,n_entries,best_f1,best_f1_macro,best_acc,best_loss,best_key,last_avg_f1,last_avg_f1_macro,last_avg_acc,pseudo_rows,pseudo_agreement,pool_positive_rate,sample_positive_rate
ModApte,binary,earn,random,reuters_modapte_earn_train,10,0.8939989715966931,0.8777641170710477,0.8958904109589041,0.3199054002761841,random,0.8176714075769679,0.7800810751616449,0.8340943683409436,1734,0.8102652825836217,0.29573777358885744,0.2497116493656286
ModApte,binary,earn,thompson,reuters_modapte_earn_train,20,0.9090354338065837,,0.9111111111111111,0.2589883506298065,0,0.7216129835892361,,0.7735836292913918,3919,0.840010206685379,0.29573777358885744,0.28170451645828015
ModApte,multiclass,multiclass_6cls,random,reuters_modapte_multiclass_6cls_train,10,0.03620179602603366,0.03180728928113946,0.045357686453576865,1.929274559020996,random,0.015387727416144742,0.018929812285175523,0.0258751902587519,1538,0.10793237971391417,,
ModApte,multiclass,multiclass_6cls,thompson,reuters_modapte_multiclass_6cls_train,10,0.07342125398740569,0.06164747407424731,0.1178082191780822,2.0786075592041016,6,0.026065836866355344,0.025570055002263156,0.045471841704718415,1920,0.121875,,
ModHayes,binary,earn,random,reuters_modhayes_earn_train,20,0.9831886960391633,0.8626740415792485,0.9819444444444444,0.2785177528858185,random,0.9771505376344085,0.8050179211469534,0.9763888888888889,3602,0.852859522487507,0.19391559377640802,0.20377568017767908
ModHayes,binary,earn,thompson,reuters_modhayes_earn_train,10,0.984150972748403,0.8550485916652939,0.9847222222222223,0.09680381417274475,0,0.9784971254827566,0.8166071755697324,0.9777777777777779,2000,0.673,0.19391559377640802,0.605
ModHayes,multiclass,multiclass_6cls,thompson,reuters_modhayes_multiclass_6cls_train,10,0.6380720281613864,0.1397238017871649,0.7166666666666667,1.4841606616973877,8,0.23067576076444252,0.06493890463297325,0.24375000000000002,1746,0.13860252004581902,,
ModLewis,binary,earn,random,reuters_modlewis_earn_train,10,0.8885664955426629,0.8059418433449286,0.8891233766233766,0.3968672752380371,random,0.871987866303803,0.771267379550844,0.8761363636363636,1951,0.8159917990773962,0.20853640525771674,0.17529472065607382
ModLewis,binary,earn,thompson,reuters_modlewis_earn_train,10,0.9176540129577229,0.8577995051210165,0.9173701298701299,0.3591104745864868,6,0.8650322600088654,0.7481261338278016,0.8790990259740259,2000,0.863,0.20853640525771674,0.212
ModLewis,multiclass,multiclass_6cls,random,reuters_modlewis_multiclass_6cls_train,10,0.005914269255649243,0.012018061319332416,0.01461038961038961,2.667266845703125,random,0.004066750265886766,0.009426010747295583,0.013798701298701298,1931,0.10357327809425168,,
ModLewis,multiclass,multiclass_6cls,thompson,reuters_modlewis_multiclass_6cls_train,10,0.5130293130522324,0.1282469186105735,0.6131493506493506,1.4994964599609375,9,0.2235399422559175,0.06036383633641648,0.23410894660894657,1585,0.1608832807570978,,
